"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","Nivel","Operands"
"A","ACTIVO","ACTIVO","Asset","D","No","Yes",,,"E",
"A.A","A) ACTIVO NO CORRIENTE","A) ACTIVO NO CORRIENTE","Asset","D","No","Yes",,"A","E",
"A.A.I","I. INMOVILIZADO INTANGIBLE","I. INMOVILIZADO INTANGIBLE","Asset","D","No","Yes",,"A.A","E",
"A.A.I.1","1. DESARROLLO","1. DESARROLLO","Asset","D","No","Yes",,"A.A.I","E",
"200","Investigación","Investigación","Asset","D","No","Yes",,"A.A.I.1","C",
"2000","Investigación","Investigación","Asset","D","No","Yes",,"200","D",
"201","Desarrollo","Desarrollo","Asset","D","No","Yes",,"A.A.I.1","C",
"2010","Desarrollo","Desarrollo","Asset","D","No","Yes",,"201","D",
"280A","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.1","C",
"2800","Amortización acumulada de investigación","Amortización acumulada de investigación","Asset","D","No","Yes",,"280A","D",
"2801","Amortización acumulada de desarrollo","Amortización acumulada de desarrollo","Asset","D","No","Yes",,"280A","D",
"290A","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.1","C",
"2901","Deterioro del valor de desarrollo","Deterioro del valor de desarrollo","Asset","D","No","Yes",,"290A","D",
"A.A.I.2","2. CONCESIONES","2. CONCESIONES","Asset","D","No","Yes",,"A.A.I","E",
"202","Concesiones administrativas","Concesiones administrativas","Asset","D","No","Yes",,"A.A.I.2","C",
"2020","Concesiones administrativas","Concesiones administrativas","Asset","D","No","Yes",,"202","D",
"280B","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.2","C",
"2802","Amortización acumulada de concesiones administrativas","Amortización acumulada de concesiones administrativas","Asset","D","No","Yes",,"280B","D",
"290B","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.2","C",
"2902","Deterioro de valor de concesiones administrativas","Deterioro de valor de concesiones administrativas","Asset","D","No","Yes",,"290B","D",
"A.A.I.3","3. PATENTES. LICENCIAS. MARCAS Y SIMILARES","3. PATENTES. LICENCIAS. MARCAS Y SIMILARES","Asset","D","No","Yes",,"A.A.I","E",
"203","Propiedad industrial","Propiedad industrial","Asset","D","No","Yes",,"A.A.I.3","C",
"2030","Propiedad industrial","Propiedad industrial","Asset","D","No","Yes",,"203","D",
"280C","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.3","C",
"2803","Amortización acumulada de propiedad industrial","Amortización acumulada de propiedad industrial","Asset","D","No","Yes",,"280C","D",
"290C","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.3","C",
